"taxon_code","gbif_accepted_taxon_id","gbif_accepted_scientific_name","Idlevel"
"DACRPE-Dacryodes peruviana",7286858,"Dacryodes peruviana","species"
"DALBFR-Dalbergia frutescens",2968824,"Dalbergia frutescens","species"
"DALBNI-Dalbergia nigrescens",2968399,"Dalbergia nigrescens","species"
"DENBBO-Dendrobangia boliviana",3596663,"Dendrobangia boliviana","species"
"DENDAR-Dendropanax arboreus",3035093,"Dendropanax arboreus","species"
"DENDCA-Dendropanax caucanus",3035067,"Dendropanax caucanus","species"
"DENDQU-Dendropanax querceti",3034993,"Dendropanax querceti","species"
"DIALGU-Dialium guianense",2971008,"Dialium guianense","species"
"DILKPA-Dilkea parviflora",3586537,"Dilkea retusa","species"
"DIOSAR-Diospyros artanthifolia",7848675,"Diospyros artanthifolia","species"
"DIOSCR-Diospyros capreifolia",5832390,"Diospyros capreifolia","species"
"DIOSEK-Diospyros ekodul",4070018,"Diospyros ekodul","species"
"DIOSPS-Diospyros pseudoxylopia",4070387,"Diospyros pseudoxylopia","species"
"DIOSSU-Diospyros subrotata",4070210,"Diospyros subrotata","species"
"DIPLPT-Diplotropis pterochic",2960676,"Diplotropis","genus"
"DIPLPU-Diplotropis purpurea",5355625,"Diplotropis purpurea","species"
"DIPOCU-Diploon cuspidatum",2883950,"Diploon cuspidatum","species"
"DISCGU-Discophora guianensis",8066826,"Discophora guianensis","species"
"DRYPAM-Drypetes amazonica",3075969,"Drypetes amazonica","species"
"DRYPPA-Drypetes papilosa",3075615,"Drypetes","genus"
"DRYPVA-Drypetes variabilis",3075850,"Drypetes variabilis","species"
"DUGUCO-Duguetia cortaten",3157467,"Duguetia","genus"
"DUGUHA-Duguetia hadrantha",3157624,"Duguetia hadrantha","species"
"DUGUQU-Duguetia quitarensis",3157592,"Duguetia quitarensis","species"
"DUGUSP-Duguetia spixiana",3157492,"Duguetia spixiana","species"
"DUGUSU-Duguetia surinamensis",3157522,"Duguetia surinamensis","species"
"DULACA-Dulacia candida",3685635,"Dulacia candida","species"
"DUROES-Randia stipuloscabra",2911655,"Randia","genus"
"DUROHI-Duroia hirsuta",2892105,"Duroia hirsuta","species"
"DUSSDE-Dussia delgada",2968226,"Dussia","genus"
"DUSSPE-Dussia pelosblancos",2968226,"Dussia","genus"
"DUSSTE-Dussia tessmannii",2968237,"Dussia tessmannii","species"
"ECCLAN-Ecclinusa angostaestipul",2887353,"Ecclinusa","genus"
"ECCLGU-Ecclinusa guianensis",2887376,"Ecclinusa guianensis","species"
"ELAEGL-Elaeoluma glabrescens",2886343,"Elaeoluma glabrescens","species"
"ENDLBR-Endlicheria bracteata",4176746,"Endlicheria bracteata","species"
"ENDLBU-Endlicheria burbujas",7304104,"Endlicheria","genus"
"ENDLCA-Endlicheria canescens",4176663,"Endlicheria canescens","species"
"ENDLDO-Endlicheria dori",7304104,"Endlicheria","genus"
"ENDLFA-Endlicheria falsadyso",7304104,"Endlicheria","genus"
"ENDLFO-Endlicheria formosa",4176428,"Endlicheria formosa","species"
"ENDLKR-Endlicheria krukovii",4176111,"Endlicheria krukovii","species"
"ENDLPL-Endlicheria platagigante",7304104,"Endlicheria","genus"
"ENDLSE-Endlicheria sericea",4175646,"Endlicheria sericea","species"
"ENDLTE-Endlicheria directonervia",4176500,"Endlicheria directonervia","species"
"ENDLTS-Endlicheria tschudyana",4183476,"Endlicheria tschudyana","species"
"ENTEBA-Enterolobium barnebianum",2961143,"Enterolobium barnebianum","species"
"ERIOGL-Eriotheca globosa",4073732,"Eriotheca globosa","species"
"ERISUN-Erisma uncinatum",5650915,"Erisma uncinatum","species"
"ERYNAM-Erythrina amazonica",5349510,"Erythrina amazonica","species"
"ERYOGR-Erythroxylum gracilipes",7284849,"Erythroxylum gracilipes","species"
"ERYOMA-Erythroxylum macrophyllum",7870294,"Erythroxylum macrophyllum","species"
"ERYOSQ-Erythroxylum squamatum",7284874,"Erythroxylum squamatum","species"
"ESCHAN-Eschweilera andina",3083184,"Eschweilera andina","species"
"ESCHBR-Eschweilera bracteosa",3083420,"Eschweilera bracteosa","species"
"ESCHCO-Eschweilera coriacea",3083231,"Eschweilera coriacea","species"
"ESCHGG-Eschweilera gigantea",3083314,"Eschweilera gigantea","species"
"ESCHGI-Eschweilera giga",3083183,"Eschweilera","genus"
"ESCHGR-Eschweilera gigarco",3083183,"Eschweilera","genus"
"ESCHJU-Eschweilera juruensis",3083251,"Eschweilera juruensis","species"
"ESCHRU-Eschweilera rufifolia",3083381,"Eschweilera rufifolia","species"
"ESENAM-Esenbeckia amazonica",5593203,"Esenbeckia amazonica","species"
"EUGEEG-Eugenia egensis",5416834,"Eugenia egensis","species"
"EUGEFE-Eugenia feijoi",5417684,"Eugenia feijoi","species"
"EUGEFL-Eugenia florida",5417919,"Eugenia florida","species"
"EUGEGR-Eugenia longisepala",6306443,"Eugenia longisepala","species"
"EUGEGV-Eugenia granvariable",3177662,"Eugenia","genus"
"EUGELA-Eugenia lambertiana",5416727,"Eugenia lambertiana","species"
"EUGEMA-Eugenia margot",3177662,"Eugenia","genus"
"EUGEMC-Eugenia macrocalyx",8275691,"Eugenia macrocalyx","species"
"EUGEME-Eugenia medioperp-rojo",3177662,"Eugenia","genus"
"EUGEMI-Eugenia pusilliflora",6306444,"Eugenia pusilliflora","species"
"EUGEMN-Eugenia membranegra",3177662,"Eugenia","genus"
"EUGEMU-Eugenia multirimosa",10607461,"Eugenia multirimosa","species"
"EUGEMV-Eugenia medioperp-verde",3177662,"Eugenia","genus"
"EUGEPA-Eugenia panosadorada",3177662,"Eugenia","genus"
"EUGEPS-Eugenia pseudopanosa",3187232,"Psidium","genus"
"EUGERA-Eugenia ramamarilla",3177662,"Eugenia","genus"
"EUGESB-Eugenia smedbrosimoid",3177662,"Eugenia","genus"
"EUGESC-Eugenia schunkei",10330019,"Eugenia schunkei","species"
"EUGESD-Eugenia smedcostadorada",3177662,"Eugenia","genus"
"EUGESM-Eugenia smedmaboid",3177662,"Eugenia","genus"
"EUGESS-Eugenia smedcostacrasa",3177662,"Eugenia","genus"
"EUGEYA-Eugenia yasuniana",5416992,"Eugenia yasuniana","species"
"EUPLMI-Euplassa milton",7287255,"Euplassa","genus"
"EUTEPR-Euterpe precatoria",5293425,"Euterpe precatoria","species"
"EXOSMA-Exostema maynense",11017680,"Adolphoduckea maynensis","species"
"FARACA-Faramea capillipes",2898189,"Faramea capillipes","species"
"FARAGL-Faramea glandulosa",2898063,"Faramea glandulosa","species"
"FARAMU-Faramea multiflora",8295089,"Faramea multiflora","species"
"FARAQU-Faramea quinqueflora",2898037,"Faramea quinqueflora","species"
"FARATO-Faramea torquata",2898072,"Faramea torquata","species"
"FARAUN-Faramea uncinata",2898126,"Faramea cuencana","species"
"FICUAC-Ficus acreana",5569593,"Ficus acreana","species"
"FICUAM-Ficus americana",5361926,"Ficus americana","species"
"FICUBA-Ficus schippii",5570840,"Ficus schippii","species"
"FICUCR-Ficus crocata",5569828,"Ficus crocata","species"
"FICUCU-Ficus cuatrecasasiana",7389440,"Ficus cuatrecasasiana","species"
"FICUDO-Ficus donnell-smithii",5572269,"Ficus donnell-smithii","species"
"FICUEC-Ficus ecuadorensis",5572086,"Ficus ecuadorensis","species"
"FICUGO-Ficus gomelleira",5571029,"Ficus gomelleira","species"
"FICUMA-Ficus maxima",5571386,"Ficus maxima","species"
"FICUNY-Ficus nymphaeifolia",5570630,"Ficus nymphaeifolia","species"
"FICUOB-Ficus obtusifolia",5361910,"Ficus obtusifolia","species"
"FICUOV-Ficus oveja",2984588,"Ficus","genus"
"FICUPI-Ficus piresiana",5569865,"Ficus crassivenosa","species"
"FICUPU-Ficus pulchella",5571905,"Ficus pulchella","species"
"FICUST-Ficus schultesii",5571029,"Ficus gomelleira","species"
"FICUTR-Ficus trigona",7930239,"Ficus trigona","species"
"FROEDI-Froesia diffusa",3986477,"Froesia diffusa","species"
"GARCBR-Garcinia brasiliensis",7329866,"Garcinia brasiliensis","species"
"GARCMA-Garcinia madruno",3713863,"Garcinia madruno","species"
"GARCMC-Garcinia macrophylla",7727026,"Garcinia macrophylla","species"
"GENIAM-Genipa americana",2895593,"Genipa americana","species"
"GEONCO-Geonoma aspidiifolia",2734141,"Geonoma aspidiifolia","species"
"GEONMA-Geonoma maxima",2734176,"Geonoma maxima","species"
"GEONST-Geonoma stricta",2734102,"Geonoma stricta","species"
"GEONTR-Geonoma triglochin",2734265,"Geonoma triglochin","species"
"GLOEEQ-Gloeospermum equatoriense",4075162,"Gloeospermum equatoriense","species"
"GLOEES-Gloeospermum esferica",7296352,"Gloeospermum","genus"
"GLOELO-Gloeospermum longifolium",4075066,"Gloeospermum longifolium","species"
"GLYCAM-Glycydendron amazonicum",3061260,"Glycydendron amazonicum","species"
"GORDFR-Gordonia fruticosa",5528227,"Gordonia fruticosa","species"
"GRIANE-Grias neuberthii",3082343,"Grias neuberthii","species"
"GUAPCL-Guapira clasica",3086054,"Guapira","genus"
"GUAPGR-Guapira granclasica",3086054,"Guapira","genus"
"GUARCA-Guarea carinata",3849565,"Guarea carinata","species"
"GUAREC-Guarea ecuadoriensis",3852441,"Guarea ecuadoriensis","species"
"GUARFA-Guarea falsakunth",3190499,"Guarea","genus"
"GUARFI-Guarea fistulosa",3852308,"Guarea fistulosa","species"
