"Familia.APGIV","Familia","NombreActual","Authors","NombreMemoria","CODIGO","CodigoPBDY_18","FormaPBDY_2018","Forma_2015","NumRec_2018","MinYear_2018","MaxYear_2018","UserNotes2018","gbif_accepted_scientific_name","gbif_accepted_taxon_id","taxon_code"
"Clusiaceae","Clusiaceae","Clusia sp. I","","Clusia sp. I","CLUS_I","","","HW",402,2000,2017,"Used briefly in 2000-2001 (13 records). Re-recognized in 2008. Adult voucher awaiting identification.","Clusia",3189424,"CLUS_I-Clusia sp. I"
"Clusiaceae","Clusiaceae","Clusia sp. JJ","","Clusia sp. JJ","CLUS_JJ","","","HW",1,2001,2001,"Discontiuned after 2000 (insufficient material for identification).","Clusia",3189424,"CLUS_JJ-Clusia sp. JJ"
"Clusiaceae","Clusiaceae","Clusia sp. LL","","Clusia sp. LL","CLUS_LL","","","HW",3,2008,2008,"","Clusia",3189424,"CLUS_LL-Clusia sp. LL"
"Clusiaceae","Clusiaceae","Clusia sp. N","","Clusia sp. N","CLUS_N","","","HW",115,2008,2017,"First ecognized in 2008. Voucher material poor (1 leaf & fruit). Not yet identified to species.","Clusia",3189424,"CLUS_N-Clusia sp. N"
"Clusiaceae","Clusiaceae","Clusia sp. RR","","Clusia sp. RR","CLUS_RR","","","HW",81,2009,2016,"First recogized in 2009.","Clusia",3189424,"CLUS_RR-Clusia sp. RR"
"Clusiaceae","Clusiaceae","Clusia sp. Y","","Clusia sp. Y","CLUS_Y","","","HW",3,2000,2013,"","Clusia",3189424,"CLUS_Y-Clusia sp. Y"
"Clusiaceae","Clusiaceae","Clusia sp. ZZ ","","Clusia sp. ZZ","CLUS_ZZ","","","HW",17,2010,2011,"First recognized in 2010. Probably CLUS_Z ('chiquita'). Adult voucher awaiting identification.","Clusia",3189424,"CLUS_ZZ-Clusia sp. ZZ"
"Clusiaceae","Clusiaceae","Clusia spp. (partes indet. a sp.)","","Clusia spp. (partes indet. a sp.)","CLUS_PIN","","","HW",1676,2000,2008,"Includes all unidentified Clusia parts before 5-2008 with codes CLUxx (where xx equals the trap number) or CLUS or CLUSIA and a few unknowns.  After this date samples were assigned to specific codes.","Clusia",3189424,"CLUS_PIN-Clusia spp. (partes indet. a sp.)"
"Clusiaceae","Clusiaceae","Garcinia brasiliensis","Mart.","Garcinia brasiliensis","GAR2BR","GARCBR","M","TM",1,2008,2008,"","Garcinia brasiliensis",7329866,"GAR2BR-GARCBR-Garcinia brasiliensis"
"Clusiaceae","Clusiaceae","Garcinia macrophylla","Mart.","Garcinia macrophylla","GAR2M1","GARCMC","T","TC",2,2016,2017,"","Garcinia macrophylla",7727026,"GAR2M1-GARCMC-Garcinia macrophylla"
"Clusiaceae","Clusiaceae","Garcinia madruno","(Kunth) Hammel","Garcinia madruno","GAR2M2","GARCMA","M","TM",2,2003,2013,"","Garcinia madruno",3713863,"GAR2M2-GARCMA-Garcinia madruno"
"Clusiaceae","Clusiaceae","Symphonia globulifera","L. f.","Symphonia globulifera","SYMPGL","SYMHGL","T","TM",8,2005,2014,"","Symphonia globulifera",8185162,"SYMPGL-SYMHGL-Symphonia globulifera"
"Clusiaceae","Clusiaceae","Tovomita 'alargada'","","Tovomita 'arbol'","TOVOAR","TOVOAL","M","TM",6,2001,2016,"","Tovomita",7329865,"TOVOAR-TOVOAL-Tovomita 'arbol'"
"Combretaceae","Combretaceae","Buchenavia grandis","Ducke","Buchenavia 'elegante'","BUCHEL","BUCHGR","E","TC",3,2006,2011,"","Terminalia grandis",9392612,"BUCHEL-BUCHGR-Buchenavia 'elegante'"
"Combretaceae","Combretaceae","Buchenavia 'ob'","","Terminalia 'ob'","TERMOB","TERMOB","T","TC",164,2000,2018,"Generic change in plot list 2014-2018. Was Terminila in lists through 2010",NA,3189387,"TERMOB-Terminalia 'ob'"
"Combretaceae","Combretaceae","Buchenavia oxycarpa","(Mart.) Eichler","Buchenavia 'cilipunto'","BUCHCI","BUCHPU","T","TC",16,2001,2014,"Buchenavia oxycarpa in plot lists  of 2018 & 2014.  This as was B. 'punctata' in lists from 2004-2010 and  B. 'cilipunto' in earlier lists.","Terminalia oxycarpa",3699032,"BUCHCI-BUCHPU-Buchenavia 'cilipunto'"
"Combretaceae","Combretaceae","Buchenavia parvifolia","Ducke","Buchenavia parvifolia","BUCHPA","BUCHPA","T","TC",388,2000,2018,"","Terminalia parvifolia",9455981,"BUCHPA-Buchenavia parvifolia"
"Combretaceae","Combretaceae","Combretum sp. I","","Combretum sp. I","COMB_I","","","CW",52,2001,2013,"","Combretum",2986357,"COMB_I-Combretum sp. I"
"Combretaceae","Combretaceae","Combretum sp. J","","Combretum sp. J","COMB_J","","","CW",1,2001,2001,"","Combretum",2986357,"COMB_J-Combretum sp. J"
"Combretaceae","Combretaceae","Combretum sp. K","","Combretum sp. K","COMB_K","","","CW",3,2004,2008,"","Combretum",2986357,"COMB_K-Combretum sp. K"
"Combretaceae","Combretaceae","Combretum 'subsesil'","","Combretum 'subsesil'","COMBSU","","","CW",6383,2000,2018,"","Combretum",2986357,"COMBSU-Combretum 'subsesil'"
"Combretaceae","Combretaceae","Terminalia amazonia","(J.F. Gmel.) Exell","Terminalia sp. A","TERM_A","","","TC",198,2000,2017,"","Terminalia amazonica",8153963,"TERM_A-Terminalia sp. A"
"Combretaceae","Combretaceae","Terminalia sp. B","","Terminalia sp. B","TERM_B","","","TC",4,2014,2017,"This is a winged wind-dispersed fruit. Therefore it is probably not a Buchenavia.","Terminalia",3189387,"TERM_B-Terminalia sp. B"
"Commelinaceae","Commelinaceae","Commelina cf. erecta","L.","Dichorisandra sp. A","DIC1_A","","","XT",7,2000,2006,"","Commelina erecta",2764389,"DIC1_A-Dichorisandra sp. A"
"Commelinaceae","Commelinaceae","Dichorisandra hexandra","(Aubl.) Standl.","Dichorisandra hexandra","DIC1HE","","","CH",17,2004,2017,"","Dichorisandra hexandra",8326180,"DIC1HE-Dichorisandra hexandra"
"Connaraceae","Connaraceae","Connarus punctatus","Planch.","Connarus 'comun'","CONNCO","","","CW",6,2006,2015,"Adult voucher awaiting identification confirmation.","Connarus punctatus",3686580,"CONNCO-Connarus 'comun'"
"Connaraceae","Connaraceae","Connarus sp. C","","Connarus sp. C","CONN_C","","","CW",16,2001,2013,"","Connarus",3032531,"CONN_C-Connarus sp. C"
"Connaraceae","Connaraceae","Rourea amazonica","(Baker) Radlk.","Connarus 'amazonicum'","CONNAM","","","CW",1,2007,2007,"Probably not equal ROUR_A.","Rourea amazonica",7971794,"CONNAM-Connarus 'amazonicum'"
"Connaraceae","Connaraceae","Rourea sp. A","","Rourea sp. A","ROUR_A","","","CW",256,2000,2016,"There are at least 2 Rourea speciesin Yasuni region fide Cat. Ecuador.","Rourea",3032534,"ROUR_A-Rourea sp. A"
"Convolvulaceae","Convolvulaceae","Dicranostyles cf. globostigma","D.F. Austin","Dicranostyles sp. I","DICR_I","","","CW",39,2002,2016,"Leaves densely pubescent. Not previously found in plot herbarium. Adult voucher awaiting ID confirmation.","Dicranostyles globostigma",3680625,"DICR_I-Dicranostyles sp. I"
"Convolvulaceae","Convolvulaceae","Dicranostyles holostyla","Ducke","Dicranostyles holostyla","DICRHO","","","CW",469,2000,2016,"Larger fruits (≥ 3 cm). Widely distributed.","Dicranostyles holostyla",3680604,"DICRHO-Dicranostyles holostyla"
"Convolvulaceae","Convolvulaceae","Dicranostyles sp. C","","Dicranostyles sp. C","DICR_C","","","CW",839,2000,2017,"Smaller fruits (≤ 2 cm). Widely distributed.  Adult voucher awaiting ID.","Dicranostyles",7324361,"DICR_C-Dicranostyles sp. C"
"Convolvulaceae","Convolvulaceae","Dicranostyles sp. J","","Dicranostyles sp. J","DICR_J","","","CW",35,2006,2016,"Limited distribution (traps 83-85).  Needs to be compared closely to DICR_C.","Dicranostyles",7324361,"DICR_J-Dicranostyles sp. J"
"Convolvulaceae","Convolvulaceae","Ipomoea phyllomega","House","Ipomoea phyllomega","IPOMPH","","","CW",66,2002,2017,"Species idnetification tentative.","Ipomoea philomega",7926928,"IPOMPH-Ipomoea phyllomega"
"Convolvulaceae","Convolvulaceae","Maripa cf. pauciflora","D.F. Austin","Convolvulaceae sp. A","CONV_A","","","CW",4,2000,2000,"Limited distribution (only trap 127).","Maripa pauciflora",5549216,"CONV_A-Convolvulaceae sp. A"
"Convolvulaceae","Convolvulaceae","Maripa sp. B","","Maripa sp. B","MAR2_B","","","CW",410,2000,2018,"Widespread.  Adult voucher awaiting ID.","Maripa",3234444,"MAR2_B-Maripa sp. B"
"Costaceae","Costaceae","Costus sp. B","","Costus sp. B","COST_B","","","XT",70,2000,2011,"","Costus",2756771,"COST_B-Costus sp. B"
"Costaceae","Costaceae","Costus sp. D","","Costus sp. D","COST_D","","","XT",11,2001,2014,"Probably equal COST_B.  B only only in tr. 125.","Costus",2756771,"COST_D-Costus sp. D"
"Costaceae","Costaceae","Costus sp. E","","Costus sp. E","COST_E","","","XT",2,2001,2008,"","Costus",2756771,"COST_E-Costus sp. E"
"Costaceae","Costaceae","Dimerocostus strobilaceus","Kuntze","Dimerocostus sp. A","DIME_A","","","XT",1,2001,2001,"","Dimerocostus strobilaceus",2756979,"DIME_A-Dimerocostus sp. A"
"Cucurbitaceae","Cucurbitaceae","Cayaponia '1-punto'","","Cayaponia '1-punto' (plantula)","CAYA1P","","","CW",1,2017,2017,"Temp-name '1-punto' refers to first seedling leaf which is unlobed and acuminate.  Seeds and fruits that match those that produce '1-punto' seedlings (plantulas) are assigned this code.  Fruits are ~ 3 cm long in a loose cluster. Adult leaves are shallowly 3-lobed.","Cayaponia",2874613,"CAYA1P-Cayaponia '1-punto' (plantula)"
"Cucurbitaceae","Cucurbitaceae","Cayaponia 'comun' ","","Cayaponia sp. C ('5 puntos' plantula)","CAYA_C","","","C?",31,2000,2012,"Temp-name '5-puntos' refers to first seedling leaf which is 5-lobed. Seeds and fruits matching those that produce '5-puntos' seedlings (plantulas) are assigned this code. Fruits are 4-5 cm long & solitary. Adults leaves are deeply 5-lobed and somewhat glabrous. Adult voucher awaiting ID.","Cayaponia",2874613,"CAYA_C-Cayaponia sp. C ('5 puntos' plantula)"
"Cucurbitaceae","Cucurbitaceae","Cayaponia macrocalyx","Harms","Cayaponia macrocalyx","CAYAMA","","","CW",143,2000,2016,"Need to distinguish from CAYA_C.  No adult voucher yet available for identification. Seeds only available on a card voucher.","Cayaponia macrocalyx",3623402,"CAYAMA-Cayaponia macrocalyx"
"Cucurbitaceae","Cucurbitaceae","Cayaponia ophthalmica","R.E. Schult.","Cayaponia '3 puntos' (plantula)","CAYA3P","","","CW",41,2012,2018,"Temp-name '3-puntos' refers to first seedling leaf which is 3-lobed. Seeds and fruits that match those that produce '3-puntos' seedlings (plantulas) are assigned this code.  Fruits are ~ 3 cm long and tightly clustered. Adult leaves are deeply 5-7 lobed.","Cayaponia ophthalmica",3623226,"CAYA3P-Cayaponia '3 puntos' (plantula)"
"Cucurbitaceae","Cucurbitaceae","Cayaponia sp. D","","Cayaponia sp. D","CAYA_D","","","C?",3,2005,2010,"","Cayaponia",2874613,"CAYA_D-Cayaponia sp. D"
"Cucurbitaceae","Cucurbitaceae","Cayaponia sp. E","","Cucurbitaceae sp. E","CUC_E","","","C?",4,2001,2014,"Seeds smaller than other Cayaponia.","Cayaponia",2874613,"CUC_E-Cucurbitaceae sp. E"
"Cucurbitaceae","Cucurbitaceae","Cayaponia sp. U","","Cucurbitaceae sp. U","CUC_U","","","C?",17,2003,2008,"Possibly equal CAYA_C.","Cayaponia",2874613,"CUC_U-Cucurbitaceae sp. U"
"Cucurbitaceae","Cucurbitaceae","Cayaponia 'tubulosa'","","Cayaponia 'tubulosa' cf.","CAYATU","","","CW",21,2016,2018,"Possibly equal CAYA_C. Adult voucher (male) awaiting ID but probably not C. tubulosa Cogn.","Cayaponia",2874613,"CAYATU-Cayaponia 'tubulosa' cf."
"Cucurbitaceae","Cucurbitaceae","Cucurbitaceae sp. C","","Cucurbitaceae sp. C","CUC_C","","","C?",9,2000,2014,"","Cucurbitaceae",6634,"CUC_C-Cucurbitaceae sp. C"
"Cucurbitaceae","Cucurbitaceae","Cucurbitaceae sp. I","","Cucurbitaceae sp. I","CUC_I","","","C?",45,2000,2014,"","Cucurbitaceae",6634,"CUC_I-Cucurbitaceae sp. I"
"Cucurbitaceae","Cucurbitaceae","Cucurbitaceae sp. K","","Cucurbitaceae sp. K","CUC_K","","","C?",1,2001,2001,"","Cucurbitaceae",6634,"CUC_K-Cucurbitaceae sp. K"
"Cucurbitaceae","Cucurbitaceae","Cucurbitaceae sp. O","","Cucurbitaceae sp. O","CUC_O","","","C?",1,2001,2001,"","Cucurbitaceae",6634,"CUC_O-Cucurbitaceae sp. O"
"Cucurbitaceae","Cucurbitaceae","Cucurbitaceae sp. S","","Cucurbitaceae sp. S","CUC_S","","","C?",59,2000,2018,"","Cucurbitaceae",6634,"CUC_S-Cucurbitaceae sp. S"
"Cucurbitaceae","Cucurbitaceae","Cucurbitaceae sp. V","","Cucurbitaceae sp. V","CUC_V","","","C?",4,2000,2008,"","Cucurbitaceae",6634,"CUC_V-Cucurbitaceae sp. V"
"Cucurbitaceae","Cucurbitaceae","Fevillea cordifolia","L.","Fevillea cordifolia","FEVICO","","","CW",86,2003,2016,"","Fevillea cordifolia",2874555,"FEVICO-Fevillea cordifolia"
"Cucurbitaceae","Cucurbitaceae","Gurania acuminata","Cogn.","Gurania acuminata","GURAAC","","","C?",5,2017,2018,"Scan of adult voucher awaiting ID confirmation.","Gurania acuminata",3624188,"GURAAC-Gurania acuminata"
"Cucurbitaceae","Cucurbitaceae","Gurania sp. R","","Cucurbitaceae sp. R","CUC_R","","","C?",59,2000,2017,"","Gurania",7317515,"CUC_R-Cucurbitaceae sp. R"
"Cucurbitaceae","Cucurbitaceae","Gurania sp. S","","Gurania sp. S","GURA1_S","","","C?",1,2012,2012,"","Gurania",7317515,"GURA1_S-Gurania sp. S"
"Cucurbitaceae","Cucurbitaceae","Melothria cf. dulcis","Wunderlin","Sicydium sp. A","SICY_A","","","CH",15,2011,2015,"Adult voucher awaiting ID confirmation.","Melothria dulcis",3624707,"SICY_A-Sicydium sp. A"
"Cucurbitaceae","Cucurbitaceae","Siolmatra pentaphylla","Harms","Siolmatra pentaphylla","SIOLPE","","","CW",252,2000,2018,"","Siolmatra pentaphylla",3623186,"SIOLPE-Siolmatra pentaphylla"
"Cyclanthaceae","Cyclanthaceae","Asplundia sp. A","","Asplundia sp. A","ASPL_A","","","HV",252,2000,2017,"","Asplundia",2860937,"ASPL_A-Asplundia sp. A"
"Cyclanthaceae","Cyclanthaceae","Asplundia sp. B","","Asplundia sp. B","ASPL_B","","","HV",51,2000,2013,"","Asplundia",2860937,"ASPL_B-Asplundia sp. B"
"Cyclanthaceae","Cyclanthaceae","Asplundia sp. L","","Asplundia sp. L","ASPL_L","","","HV",97,2000,2017,"Possibly equal ASPLVA.  Awaiting identification of adult voucher which is only available at Yasuni.  There were insufficient samples for exporting.","Asplundia",2860937,"ASPL_L-Asplundia sp. L"
"Cyclanthaceae","Cyclanthaceae","Asplundia sp. N","","Asplundia sp. N","ASPL_N","","","HV",9,2001,2003,"","Asplundia",2860937,"ASPL_N-Asplundia sp. N"
"Cyclanthaceae","Cyclanthaceae","Asplundia sp. S","","Asplundia sp. S","ASPL_S","","","HV",10,2002,2005,"Possibly equal ASPL_A.","Asplundia",2860937,"ASPL_S-Asplundia sp. S"
"Cyclanthaceae","Cyclanthaceae","Asplundia cf. vaupesiana","Harling","Asplundia vaupesiana","ASPLVA","","","HV",4,2006,2008,"Possibly equal ASPL_L.","Asplundia vaupesiana",2861069,"ASPLVA-Asplundia vaupesiana"
"Cyclanthaceae","Cyclanthaceae","Evodianthus funifer","(Poit. )Linsm.","Evodianthus sp. A","EVO1_A","","","HV",39,2010,2017,"","Evodianthus funifer",2861089,"EVO1_A-Evodianthus sp. A"
"Cyclanthaceae","Cyclanthaceae","Ludovia integrifolia","(Woodson) Haarling","Asplundia sp. J","ASPL_J","","","HV",22,2001,2010,"","Ludovia integrifolia",5327022,"ASPL_J-Asplundia sp. J"
"Dichapetalaceae","Dichapetalaceae","Dichapetalum 'coriaceum'","","Dichapetalum sp. A","DICH_A","","","CW",190,2000,2016,"","Dichapetalum",7309866,"DICH_A-Dichapetalum sp. A"
"Dichapetalaceae","Dichapetalaceae","Dichapetalum sp. B","","Dichapetalum sp. B","DICH_B","","","CW",6,2003,2005,"","Dichapetalum",7309866,"DICH_B-Dichapetalum sp. B"
"Dichapetalaceae","Dichapetalaceae","Tapura juruana","(Ule) Rizz.","Tapura juruana","TAPUJU","TAPUJU","T","TC",303,2000,2018,"","Tapura juruana",4195950,"TAPUJU-Tapura juruana"
"Dichapetalaceae","Dichapetalaceae","Tapura peruviana","K. Krause","Tapura peruviana","TAPUPE","TAPUPE","U","TU",8,2000,2014,"","Tapura peruviana",7309870,"TAPUPE-Tapura peruviana"
"Dilleniaceae","Dilleniaceae","Davilla rugosa","Poir.","Davilla sp. A","DAVI_A","","","CW",1083,2000,2018,"Adult vouchers awaiting ID confirmation.","Davilla rugosa",7303996,"DAVI_A-Davilla sp. A"
"Dilleniaceae","Dilleniaceae","Doliocarpus sp. A","","Doliocarpus sp. A","DOLI_A","","","CW",103,2000,2017,"","Doliocarpus",3083497,"DOLI_A-Doliocarpus sp. A"
"Dilleniaceae","Dilleniaceae","Pinzona coriacea","Mart. & Zucc.","Pizona coriacea","PINZCO","","","CW",727,2000,2016,"","Pinzona coriacea",3083490,"PINZCO-Pizona coriacea"
"Dilleniaceae","Dilleniaceae","Tetracera willdenowiana","Steud.","Tetracera willdenowiana","TET1WI","","","CW",2762,2000,2018,"Adult vouchers awaiting ID confirmation.","Tetracera willdenowiana",7303983,"TET1WI-Tetracera willdenowiana"
"Dioscoreaceae","Dioscoreaceae","Dioscorea sp. A","","Dioscorea sp. A","DIO1_A","","","CH",44,2000,2015,"Scans of adult voucher awaiting identification.","Dioscorea",2754367,"DIO1_A-Dioscorea sp. A"
"Dioscoreaceae","Dioscoreaceae","Dioscorea sp. B","","Dioscorea sp. B","DIO1_B","","","CH",16,2001,2011,"","Dioscorea",2754367,"DIO1_B-Dioscorea sp. B"
"Ebenaceae","Ebenaceae","Diospyros pseudoxylopia","Mildbr.","Diospyros pseudoxylopia","DIO2PS","DIOSPS","T","TC",422,2000,2017,"","Diospyros pseudoxylopia",4070387,"DIO2PS-DIOSPS-Diospyros pseudoxylopia"
"Ebenaceae","Ebenaceae","Diospyros subrotata","Hiern","Diospyros 'simibrachy'","DIO2SI","DIOSSU","M","TM",15,2000,2010,"","Diospyros subrotata",4070210,"DIO2SI-DIOSSU-Diospyros 'simibrachy'"
"Elaeocarpaceae","Elaeocarpaceae","Sloanea cf. fragrans","Rusby","Sloanea 'stipulon'","SLOAST","SLOAFR","T","TC",73,2000,2018,"Was Sloanea cf fragans Rusby in plot book (2014).","Sloanea fragrans",5651245,"SLOAST-SLOAFR-Sloanea 'stipulon'"
"Elaeocarpaceae","Elaeocarpaceae","Sloanea 'gigapulvi'","","Sloanea 'gigapulvi'","SLOAG1","SLOAGI","T","TC",181,2001,2018,"","Sloanea",3152097,"SLOAG1-SLOAGI-Sloanea 'gigapulvi'"
"Elaeocarpaceae","Elaeocarpaceae","Sloanea 'granredonda'","","Sloanea 'granredonda'","SLOAG3","SLOAGD","M","TM",3,2004,2004,"","Sloanea",3152097,"SLOAG3-SLOAGD-Sloanea 'granredonda'"
"Elaeocarpaceae","Elaeocarpaceae","Sloanea guianensis","(Aubl.) Benth.","Sloanea 'guia'","SLOAG4","SLOAGU","T","TC",26,2000,2007,"New identification as Sloanea guianensis (Aubl.) Benth. in plot list 2018; was 'guia' in 2001-2014","Sloanea guianensis",7291059,"SLOAG4-SLOAGU-Sloanea 'guia'"
"Elaeocarpaceae","Elaeocarpaceae","Sloanea 'nervi'","","Sloanea 'nervi'","SLOANE","SLOANE","T","TC",216,2000,2018,"","Sloanea",3152097,"SLOANE-Sloanea 'nervi'"
"Elaeocarpaceae","Elaeocarpaceae","Sloanea 'oak'","","Sloanea 'oak'","SLOAOA","SLOAOA","T","TC",27,2000,2017,"","Sloanea",3152097,"SLOAOA-Sloanea 'oak'"
"Elaeocarpaceae","Elaeocarpaceae","Sloanea cf. pubescens","Benth.","Sloanea 'tomentosa'","SLOATO","SLOATO","T","TC",404,2000,2017,"This was Sloanea cf pubsescens Benth. in plot book (2014).","Sloanea pubescens",8102626,"SLOATO-Sloanea 'tomentosa'"
"Elaeocarpaceae","Elaeocarpaceae","Sloanea 'robustipeq'","","Sloanea 'robustipeq'","SLOARO","SLOARO","T","TC",5,2004,2011,"","Sloanea",3152097,"SLOARO-Sloanea 'robustipeq'"
"Elaeocarpaceae","Elaeocarpaceae","Sloanea synandra","Spruce ex Benth.","Sloanea 'chocoplatalmen'","SLOACH","SLOASY","E","TE",2,2009,2009,"","Sloanea synandra",5651143,"SLOACH-SLOASY-Sloanea 'chocoplatalmen'"
"Erythroxylaceae","Erythroxylaceae","Erythroxylum macrophyllum var. ecuadorense","Plowman","Erythroxylum 'ecuadorense'","ERY2EC","ERYOMA","U","TU",4,2006,2011,"Both varieties in plot included in plot code ERYOMA in lists 2018 & 2014.   Varities given in plot lists 2009-2010. We maintain them separately in the trap database because they differ morphologically.","Erythroxylum macrophyllum ecuadorense",3693986,"ERY2EC-ERYOMA-Erythroxylum 'ecuadorense'"
"Erythroxylaceae","Erythroxylaceae","Erythroxylum macrophyllum var. macrophyllum","Cav.","Erythroxylum macrophyllum","ERY2MA","ERYOMA","U","TU",99,2000,2018,"Both varieties in plot included in plot code ERYOMA in lists 2018 & 2014.   Varities given in plot lists 2009-2010. We maintain them separately in the trap database because they differ morphologically.","Erythroxylum macrophyllum macrophyllum",7284812,"ERY2MA-ERYOMA-Erythroxylum macrophyllum"
"Erythroxylaceae","Erythroxylaceae","Erythroxylum squamatum","Sw.","Erythroxylum squamatum","ERY2SQ","ERYOSQ","U","TU",264,2000,2018,"","Erythroxylum squamatum",7284874,"ERY2SQ-ERYOSQ-Erythroxylum squamatum"
"Euphorbiaceae","Euphorbiaceae","Acalypha cuneata","Poepp. & Endl.","Acalypha cuneata","ACALCU","ACALCU","S","SL",159,2000,2018,"","Acalypha cuneata",3056769,"ACALCU-Acalypha cuneata"
"Euphorbiaceae","Euphorbiaceae","Acidoton nicaraguensis","(Hemsl.) G.L. Webster","Acidoton nicaraguensis","ACIDNI","ACIDNI","S","SL",354,2000,2018,"","Gitara nicaraguensis",9349506,"ACIDNI-Acidoton nicaraguensis"
"Euphorbiaceae","Euphorbiaceae","Alchornea triplinervia","(Spreng.) Müll. Arg.","Alchornea triplinervia","ALC1TR","ALC1TR","E","TE",5298,2000,2018,"","Alchornea triplinervia",3055511,"ALC1TR-Alchornea triplinervia"
"Euphorbiaceae","Euphorbiaceae","Alchorneopsis floribunda","(Benth.) Müll. Arg.","Alchorneopsis floribunda","ALC2FL","ALC2FL","T","TC",172,2000,2015,"","Alchorneopsis floribunda",3055091,"ALC2FL-Alchorneopsis floribunda"
"Euphorbiaceae","Euphorbiaceae","Aparisthmium cordatum","(A. Juss.) Baill.","Aparisthmium cordatum","APARCO","APARCO","M","TM",1777,2000,2018,"","Aparisthmium cordatum",3072468,"APARCO-Aparisthmium cordatum"
"Euphorbiaceae","Euphorbiaceae","Caryodendron orinocense","H. Karst.","Caryodendron orinocense","CAR6OR","CARDOR","T","TC",143,2000,2017,"","Caryodendron orinocense",3055897,"CAR6OR-CARDOR-Caryodendron orinocense"
"Euphorbiaceae","Euphorbiaceae","Conceveiba rhytidocarpa","Müll. Arg.","Conceveiba guianensis","CONCGU","CONCRH","U","TU",27,2003,2017,"","Conceveiba rhytidocarpa",3074954,"CONCGU-CONCRH-Conceveiba guianensis"
"Euphorbiaceae","Euphorbiaceae","Hevea guianensis","Aubl.","Hevea guianensis","HEVEGU","HEVEGU","T","TC",6,2010,2016,"","Hevea guianensis",3071199,"HEVEGU-Hevea guianensis"
"Euphorbiaceae","Euphorbiaceae","Mabea 'comun'","","Mabea 'comun'","MABECO","MABECO","U","TU",30,2000,2018,"","Mabea",3071743,"MABECO-Mabea 'comun'"
"Euphorbiaceae","Euphorbiaceae","Mabea 'superbrondu'","","Mabea 'superbrondu'","MABESU","MABESU","M","TM",133,2000,2017,"","Mabea",3071743,"MABESU-Mabea 'superbrondu'"
"Euphorbiaceae","Euphorbiaceae","Manihot brachyloba","Müll. Arg.","Manihot brachyloba","MANIBR","","","C?",9,2015,2017,"Adult voucher waiting ID confirmation.","Manihot brachyloba",3061115,"MANIBR-Manihot brachyloba"
"Euphorbiaceae","Euphorbiaceae","Omphalea diandra","L.","Omphalea sp. A","OMPH_A","","","CW",821,2000,2017,"Scans of adult vouchers awaiting ID confirmation.","Omphalea diandra",3062246,"OMPH_A-Omphalea sp. A"
"Euphorbiaceae","Euphorbiaceae","Pausandra trianae","(Müll. Arg.) Baill.","Pausandra trianae","PAUSTR","PAUSTR","U","TU",363,2000,2018,"","Pausandra trianae",3075100,"PAUSTR-Pausandra trianae"
"Euphorbiaceae","Euphorbiaceae","Plukenetia sp. A","","Plukenetia sp. A","PLUK_A","","","CW",153,2001,2017,"","Plukenetia",3070698,"PLUK_A-Plukenetia sp. A"
"Euphorbiaceae","Euphorbiaceae","Sagotia racemosa","Baill.","Sagotia racemosa","SAGORA","SAGORA","M","TM",704,2000,2017,"","Sagotia racemosa",5377870,"SAGORA-Sagotia racemosa"
"Euphorbiaceae","Euphorbiaceae","Sapium 'primero' ","","Sapium 'primero'","SAPIPR","SAPIPR","T","TC",398,2000,2018,"Sapium 'primero' in plot lists of 2018 & 2014. This was Sapium cf. glandulosum (L.) Morong in lists of 2009-2010.","Sapium",5379830,"SAPIPR-Sapium 'primero'"
"Euphorbiaceae","Euphorbiaceae","Sapium 'redonda'","","Sapium 'redonda'","SAPIRE","SAPIRE","T","TC",9,2006,2018,"","Sapium",5379830,"SAPIRE-Sapium 'redonda'"
"Euphorbiaceae","Euphorbiaceae","Tetrorchidium macrophyllum","Müll. Arg.","Tetrorchidium macrophyllum","TET5MA","TETRMC","U","TU",37,2004,2017,"","Tetrorchidium macrophyllum",3062937,"TET5MA-TETRMC-Tetrorchidium macrophyllum"
"Fabaceae","Fabaceae","Abarema jupunba","(Willd.) Britton & Killip","Abarema jupunba","ABARJU","ABARJU","T","TC",14,2003,2014,"","Jupunba trapezifolia",11784337,"ABARJU-Abarema jupunba"
"Fabaceae","Fabaceae","Abarema laeta","(Benth.) Barneby & J.W. Grimes","Abarema laeta","ABARLA","ABARLA","U","TU",4,2007,2013,"","Jupunba laeta",11798059,"ABARLA-Abarema laeta"
"Fabaceae","Fabaceae","Apuleia leiocarpa","(Vogel) J. F. Macbr.","Apuleia leiocarpa","APULLE","APULLE","T","TC",162,2006,2018,"","Apuleia leiocarpa",5353578,"APULLE-Apuleia leiocarpa"
"Fabaceae","Fabaceae","Bauhinia brachycalyx","Ducke","Bauhinia brachycalyx","BAUHBR","BAUHBR","M","TM",98,2002,2016,"","Bauhinia brachycalyx",2953223,"BAUHBR-Bauhinia brachycalyx"
"Fabaceae","Fabaceae","Brownea grandiceps","Jacq.","Brownea grandiceps","BRO2GR","BROWGR","M","TM",306,2000,2018,"","Brownea grandiceps",2970463,"BRO2GR-BROWGR-Brownea grandiceps"
"Fabaceae","Fabaceae","Brownea jaramilloi","Á.J. Pérez & Klitg.","Browneopsis 'lore'","BRO3LO","BROWLO","M","TM",15,2000,2018,"","Brownea jaramilloi",8875403,"BRO3LO-BROWLO-Browneopsis 'lore'"
