Genus,SpeciesName,Mnemonic,Family,Authority,Idlevel
Eugenia,pseudopanosa,EUGEPS,Myrtaceae,,genus
Eugenia,pusilliflora,EUGEMI,Myrtaceae,M.L. Kawas. & B. Holst,species
Eugenia,ramamarilla,EUGERA,Myrtaceae,,genus
Eugenia,schunkei,EUGESC,Myrtaceae,McVaugh,species
Eugenia,smedbrosimoid,EUGESB,Myrtaceae,,genus
Eugenia,smedcomun,ZZMYSC,Myrtaceae,,genus
Eugenia,smedcostacrasa,EUGESS,Myrtaceae,,genus
Eugenia,smedcostadorada,EUGESD,Myrtaceae,,genus
Eugenia,smedmaboid,EUGESM,Myrtaceae,,genus
Eugenia,yasuniana,EUGEYA,Myrtaceae,B. Holst & M.L. Kawas,species
Euplassa,milton,EUPLMI,Proteaceae,,genus
Euterpe,precatoria,EUTEPR,Arecaceae,Mart.,species
Exostema,maynense,EXOSMA,Rubiaceae,Poepp. & Endl.,species
Faramea,capillipes,FARACA,Rubiaceae,M ll. Arg.,species
Faramea,glandulosa,FARAGL,Rubiaceae,Poepp. & Endl.,species
Faramea,multiflora,FARAMU,Rubiaceae,A. Rich. ex DC.,species
Faramea,quinqueflora,FARAQU,Rubiaceae,Poepp. & Endl.,species
Faramea,torquata,FARATO,Rubiaceae,M ll. Arg.,species
Faramea,uncinata,FARAUN,Rubiaceae,C.M. Taylor,species
Ficus,acreana,FICUAC,Moraceae,C.C. Berg,species
Ficus,americana,FICUAM,Moraceae,(Desv. ex Ham.) C.C. Berg,species
Ficus,crocata,FICUCR,Moraceae,Miq.) Miq.,species
Ficus,cuatrecasasiana,FICUCU,Moraceae,Dugand,species
Ficus,donnell-smithii,FICUDO,Moraceae,Standl.,species
Ficus,ecuadorensis,FICUEC,Moraceae,C.C. Berg,species
Ficus,gomelleira,FICUGO,Moraceae,Kunth & Bouch ,species
Ficus,maxima,FICUMA,Moraceae,Mill.,species
Ficus,nymphaeifolia,FICUNY,Moraceae,Mill.,species
Ficus,obtusifolia,FICUOB,Moraceae,Kunth,species
Ficus,oveja,FICUOV,Moraceae,,genus
Ficus,piresiana,FICUPI,Moraceae,V zq. Avila & C.C. Berg,species
Ficus,pulchella,FICUPU,Moraceae,Schott ex Spreng.,species
Ficus,schippii,FICUBA,Moraceae,Standl.,species
Ficus,schultesii,FICUST,Moraceae,Dugand,species
Ficus,trigona,FICUTR,Moraceae,L. f.,species
Froesia,diffusa,FROEDI,Ochnaceae,Gereau & V squez,species
Garcinia,brasiliensis,GARCBR,Clusiaceae,Mart.,species
Garcinia,macrophylla,GARCMC,Clusiaceae,Mart.,species
Garcinia,madruno,GARCMA,Clusiaceae,(H. B. K.) Hammel,species
Genipa,americana,GENIAM,Rubiaceae,L.,species
Geonoma,aspidiifolia,GEONCO,Arecaceae,Spruce,species
Geonoma,maxima,GEONMA,Arecaceae,(Poit.) Kunth,species
Geonoma,stricta,GEONST,Arecaceae,(Poit.) Kunth,species
Geonoma,triglochin,GEONTR,Arecaceae,Burret,species
Gloeospermum,equatoriense,GLOEEQ,Violaceae,Hekking,species
Gloeospermum,esferica,GLOEES,Violaceae,,genus
Gloeospermum,longifolium,GLOELO,Violaceae,Hekking,species
Glycydendron,amazonicum,GLYCAM,Euphorbiaceae,Ducke,species
Gordonia,fruticosa,GORDFR,Theaceae,(Schrad.) H. Keng,species
Grias,neuberthii,GRIANE,Lecythidaceae,J.F. Macbr.,species
Guapira,clasica,GUAPCL,Nyctaginaceae,,genus
Guapira,granclasica,GUAPGR,Nyctaginaceae,,genus
Guarea,carinata,GUARCA,Meliaceae,Ducke,species
Guarea,ecuadoriensis,GUAREC,Meliaceae,W. Palacios,species
Guarea,falsakunth,GUARFA,Meliaceae,,genus
Guarea,fistulosa,GUARFI,Meliaceae,W. Palacios,species
Guarea,gigakunth,GUARGI,Meliaceae,,genus
Guarea,glabra,GUARGL,Meliaceae,Vahl,species
Guarea,gomma,GUARGO,Meliaceae,Pulle,species
Guarea,grandifolia,GUARGR,Meliaceae,DC.,species
Guarea,guentheri,GUARGU,Meliaceae,Harms,species
Guarea,guenthfuzzy,GUARGZ,Meliaceae,,genus
Guarea,kunthiana,GUARKU,Meliaceae,A. Juss.,species
Guarea,macrophylla,GUARMA,Meliaceae,Vahl,species
Guarea,pseudokunthiana,GUARPS,Meliaceae,,genus
Guarea,pterorhachis,GUARPT,Meliaceae,Harms,species
Guarea,pubescens,GUARPB,Meliaceae,(Rich.) A. Juss.,species
Guarea,pubinervi,GUARPN,Meliaceae,,genus
Guarea,purusana,GUARPU,Meliaceae,C. DC.,species
Guarea,silvatica,GUARSI,Meliaceae,C. DC.,species
Guatteria,asplundiana,GUATGR,Annonaceae,R.E. Fr.,species
Guatteria,duodecima,GUATPL,Annonaceae,Maas & Westra,species
Guatteria,gigante,GUATGI,Annonaceae,,genus
Guatteria,glaberrima,GUATGL,Annonaceae,R.E. Fr.,species
Guatteria,hiena,XYLOHI,Annonaceae,,genus
Guatteria,multivenia,GUATMU,Annonaceae,Diels,species
Guatteria,punctomarron,GUATPC,Annonaceae,,genus
Guatteria,recurvisepala,GUATRE,Annonaceae,R.E. Fr.,species
Guatteria,scalarinervia,GUATPU,Annonaceae,D.R. Simpson,species
Guatteria,stipitata,GUATCI,Annonaceae,R.E. Fr.,species
Guettarda,acreana,GUETAC,Rubiaceae,K. Krause,species
Gustavia,hexapetala,GUSTHE,Lecythidaceae,(Aubl.) Sm.,species
Gustavia,longifolia,GUSTLO,Lecythidaceae,Poepp. ex O. Berg,species
Hasseltia,floribunda,HASSFL,Salicaceae,Kunth,species
Hasseltia,hasseltomen,HASSHA,Salicaceae,,genus
Heisteria,acuminata,HEISAC,Olacaceae,(Humb. & Bonpl.) Engl.,species
Heisteria,flacarco,HEISFL,Olacaceae,,genus
Heisteria,grande,HEISGR,Olacaceae,,genus
Heisteria,multiglan,HEISMU,Olacaceae,,genus
Heisteria,nitida,HEISNI,Olacaceae,Engl.,species
Helicostylis,tomentosa,HELITO,Moraceae,(Poepp. & Endl.) Rusby,species
Helicostylis,turbinata,HELITU,Moraceae,C.C. Berg,species
