"gbif_accepted_taxon_id","gbif_accepted_scientific_name"
7269688,"Jacaratia spinosa"
2901093,"Joosia"
2901110,"Joosia longisepala"
11667647,"Jupunba adenophora"
11509664,"Jupunba ferruginea"
11452662,"Jupunba microcalyx"
2977861,"Jupunba trapezifolia"
3157872,"Klarobelia"
3157875,"Klarobelia lucida"
3157873,"Klarobelia megalocarpa"
3157886,"Klarobelia napoensis"
2893777,"Kutchubaea montana"
3845414,"Kutchubaea oocarpa"
2893782,"Kutchubaea sericantha"
3075397,"Lacistema aggregatum"
3075428,"Lacistema macbridei"
3618032,"Lacmellea floribunda"
3617882,"Lacmellea macrantha"
3617727,"Lacmellea speciosa"
7919991,"Lacunaria crenata"
2908647,"Ladenbergia"
2908718,"Ladenbergia amazonensis"
2908728,"Ladenbergia heterophylla"
2908664,"Ladenbergia muzonensis"
2908758,"Ladenbergia oblongifolia"
8901623,"Laetia"
3989776,"Lafoensia acuminata"
3989500,"Lafoensia punicifolia"
7316641,"Laxoplumeria"
3615153,"Laxoplumeria tessmannii"
3082348,"Lecythis"
3082500,"Lecythis zabucajo"
5664258,"Leonia cymosa"
9798427,"Leptobalanus"
10289996,"Leptobalanus apetalus"
9998215,"Leptobalanus granvillei"
10383454,"Leptobalanus latus"
10299697,"Leptobalanus longistylus"
10148673,"Leptobalanus octandrus"
2985542,"Licania blackii"
2985371,"Licania canescens"
9116846,"Licania condoriensis"
2985506,"Licania cuyabenensis"
2985396,"Licania elliptica"
2985272,"Licania hypoleuca"
2985361,"Licania kunthiana"
2985424,"Licania micrantha"
7439292,"Licania pallida"
2985561,"Licania velutina"
4183187,"Licaria armeniaca"
4183168,"Licaria aurea"
4182552,"Licaria exserta"
4182465,"Licaria guianensis"
3033970,"Licaria triandra"
2925383,"Lippia"
2925385,"Lippia alba"
2969089,"Lonchocarpus heptaphyllus"
2969127,"Lonchocarpus spiciflorus"
3075444,"Lozania mutisiana"
3152076,"Luehea"
5706143,"Luehea cymulosa"
7311106,"Lueheopsis"
4260551,"Lueheopsis hoehnei"
2928971,"Lycianthes"
3798852,"Lycianthes sprucei"
3071846,"Mabea arenicola"
3071779,"Mabea elata"
3071778,"Mabea klugii"
3071847,"Mabea macbridei"
3071812,"Mabea nitida"
3071832,"Mabea occidentalis"
3071818,"Mabea piriri"
3071803,"Mabea speciosa"
3071850,"Mabea standleyi"
3071764,"Mabea subsessilis"
2904937,"Macbrideina"
