#Label,X/Longitude,Y/Latitude,Z/Altitude
DJI_20241121092150_0141_V.JPG,-79.848611,9.15119,258.18
DJI_20241121092151_0142_V.JPG,-79.848716,9.151193,260.008
DJI_20241121092152_0143_V.JPG,-79.848783,9.151196,261.191
DJI_20241121092153_0144_V.JPG,-79.848873,9.151199,262.345
DJI_20241121092154_0145_V.JPG,-79.848959,9.151202,262.96
DJI_20241121092155_0146_V.JPG,-79.84905,9.151205,263.566
DJI_20241121092156_0147_V.JPG,-79.849131,9.151208,263.435
DJI_20241121092157_0148_V.JPG,-79.849218,9.151211,263.506
DJI_20241121092158_0149_V.JPG,-79.849307,9.151214,264.305
DJI_20241121092159_0150_V.JPG,-79.849395,9.151217,264.726
DJI_20241121092200_0151_V.JPG,-79.849505,9.15122,265.485
DJI_20241121092201_0152_V.JPG,-79.849571,9.151223,265.619
DJI_20241121092202_0153_V.JPG,-79.84968,9.151227,265.092
DJI_20241121092203_0154_V.JPG,-79.849766,9.151229,264.596
DJI_20241121092204_0155_V.JPG,-79.849834,9.151232,264.803
DJI_20241121092205_0156_V.JPG,-79.849919,9.151235,265.263
DJI_20241121092206_0157_V.JPG,-79.85,9.151238,265.073
DJI_20241121092207_0158_V.JPG,-79.850088,9.151241,265.864
DJI_20241121092208_0159_V.JPG,-79.850185,9.151244,263.868
DJI_20241121092209_0160_V.JPG,-79.850261,9.151247,259.673
DJI_20241121092210_0161_V.JPG,-79.850372,9.151251,255.221
DJI_20241121092211_0162_V.JPG,-79.850434,9.151253,254.994
DJI_20241121092212_0163_V.JPG,-79.85055,9.151257,255.429
DJI_20241121092213_0164_V.JPG,-79.850614,9.151259,256.076
DJI_20241121092214_0165_V.JPG,-79.8507,9.151262,254.949
DJI_20241121092215_0166_V.JPG,-79.850805,9.151265,251.97
DJI_20241121092216_0167_V.JPG,-79.850888,9.151268,249.262
DJI_20241121092217_0168_V.JPG,-79.850965,9.151271,249.824
DJI_20241121092218_0169_V.JPG,-79.851044,9.151274,249.644
DJI_20241121092219_0170_V.JPG,-79.851134,9.151277,249.418
DJI_20241121092220_0171_V.JPG,-79.851217,9.15128,249.272
DJI_20241121092221_0172_V.JPG,-79.851303,9.151283,249.734
DJI_20241121092222_0173_V.JPG,-79.851394,9.151286,250.512
DJI_20241121092223_0174_V.JPG,-79.851484,9.151289,251.289
DJI_20241121092224_0175_V.JPG,-79.851571,9.151292,252.556
DJI_20241121092225_0176_V.JPG,-79.851655,9.151295,252.689
DJI_20241121092227_0177_V.JPG,-79.851765,9.151298,252.273
DJI_20241121092227_0178_V.JPG,-79.85185,9.151302,251.819
DJI_20241121092229_0179_V.JPG,-79.85194,9.151305,249.25
DJI_20241121092230_0180_V.JPG,-79.85203,9.151308,246.889
DJI_20241121092230_0181_V.JPG,-79.852111,9.151311,245.209
DJI_20241121092231_0182_V.JPG,-79.852181,9.151313,242.118
DJI_20241121092233_0183_V.JPG,-79.852279,9.151316,242.686
DJI_20241121092233_0184_V.JPG,-79.85235,9.151319,245.29
DJI_20241121092234_0185_V.JPG,-79.852433,9.151321,248.139
DJI_20241121092235_0186_V.JPG,-79.852521,9.151324,250.363
DJI_20241121092237_0187_V.JPG,-79.852612,9.151328,254.249
DJI_20241121092238_0188_V.JPG,-79.852701,9.15133,255.4
DJI_20241121092239_0189_V.JPG,-79.852787,9.151333,256.647
DJI_20241121092240_0190_V.JPG,-79.852897,9.151338,257.727
DJI_20241121092241_0191_V.JPG,-79.852981,9.15134,257.864
DJI_20241121092242_0192_V.JPG,-79.853069,9.151343,257.689
DJI_20241121092243_0193_V.JPG,-79.853156,9.151347,257.194
DJI_20241121092244_0194_V.JPG,-79.853218,9.151349,256.729
DJI_20241121092245_0195_V.JPG,-79.853317,9.151352,256.48
DJI_20241121092246_0196_V.JPG,-79.85339,9.151355,256.291
DJI_20241121092247_0197_V.JPG,-79.853479,9.151358,256.096
DJI_20241121092248_0198_V.JPG,-79.853569,9.151361,255.845
DJI_20241121092249_0199_V.JPG,-79.853655,9.151364,255.367
DJI_20241121092250_0200_V.JPG,-79.853739,9.151367,254.919
DJI_20241121092251_0201_V.JPG,-79.853826,9.15137,254.495
DJI_20241121092252_0202_V.JPG,-79.853915,9.151373,254.073
DJI_20241121092253_0203_V.JPG,-79.854,9.151376,253.749
DJI_20241121092254_0204_V.JPG,-79.854088,9.151379,253.396
DJI_20241121092255_0205_V.JPG,-79.854173,9.151381,252.92
DJI_20241121092256_0206_V.JPG,-79.854261,9.151384,252.371
DJI_20241121092257_0207_V.JPG,-79.854349,9.151388,251.471
DJI_20241121092258_0208_V.JPG,-79.854458,9.151391,250.554
DJI_20241121092259_0209_V.JPG,-79.854547,9.151394,249.025
DJI_20241121092300_0210_V.JPG,-79.854634,9.151397,247.667
DJI_20241121092301_0211_V.JPG,-79.854706,9.1514,246.311
DJI_20241121092302_0212_V.JPG,-79.854784,9.151403,243.637
DJI_20241121092303_0213_V.JPG,-79.854869,9.151406,242.104
DJI_20241121092304_0214_V.JPG,-79.854955,9.151409,240.134
DJI_20241121092305_0215_V.JPG,-79.855044,9.151412,237.925
DJI_20241121092306_0216_V.JPG,-79.855131,9.151415,236.608
DJI_20241121092307_0217_V.JPG,-79.855216,9.151418,235.555
DJI_20241121092308_0218_V.JPG,-79.855304,9.151421,238.639
DJI_20241121092309_0219_V.JPG,-79.855398,9.151428,242.92
DJI_20241121092311_0220_V.JPG,-79.855462,9.151467,242.999
DJI_20241121092312_0221_V.JPG,-79.855472,9.151534,243.186
DJI_20241121092314_0222_V.JPG,-79.855424,9.151608,243.472
DJI_20241121092315_0223_V.JPG,-79.855354,9.151613,244.013
DJI_20241121092316_0224_V.JPG,-79.855265,9.151611,244.933
DJI_20241121092317_0225_V.JPG,-79.855176,9.151608,245.333
DJI_20241121092318_0226_V.JPG,-79.855088,9.151605,244.761
DJI_20241121092319_0227_V.JPG,-79.855001,9.151602,244.875
DJI_20241121092320_0228_V.JPG,-79.854912,9.151598,244.655
DJI_20241121092321_0229_V.JPG,-79.854822,9.151596,245.596
DJI_20241121092322_0230_V.JPG,-79.854738,9.151592,246.981
DJI_20241121092323_0231_V.JPG,-79.854649,9.151589,248.373
DJI_20241121092324_0232_V.JPG,-79.854566,9.151586,250.136
DJI_20241121092325_0233_V.JPG,-79.854478,9.151583,251.456
DJI_20241121092326_0234_V.JPG,-79.854388,9.15158,253.278
DJI_20241121092327_0235_V.JPG,-79.854303,9.151577,254.159
DJI_20241121092328_0236_V.JPG,-79.854215,9.151574,255.178
DJI_20241121092329_0237_V.JPG,-79.854129,9.151572,255.93
DJI_20241121092330_0238_V.JPG,-79.854041,9.151569,256.271
DJI_20241121092331_0239_V.JPG,-79.853956,9.151565,254.939
DJI_20241121092332_0240_V.JPG,-79.853867,9.151562,255.902
DJI_20241121092333_0241_V.JPG,-79.85378,9.151559,256.864
DJI_20241121092334_0242_V.JPG,-79.853694,9.151556,257.726
DJI_20241121092335_0243_V.JPG,-79.853606,9.151553,258.709
DJI_20241121092336_0244_V.JPG,-79.853519,9.15155,260.698
DJI_20241121092337_0245_V.JPG,-79.853432,9.151548,260.506
DJI_20241121092338_0246_V.JPG,-79.853344,9.151544,260.046
DJI_20241121092339_0247_V.JPG,-79.853258,9.151541,260.084
DJI_20241121092340_0248_V.JPG,-79.853172,9.151538,260.543
DJI_20241121092341_0249_V.JPG,-79.853084,9.151535,260.617
DJI_20241121092342_0250_V.JPG,-79.852996,9.151532,261.776
DJI_20241121092343_0251_V.JPG,-79.852909,9.151529,262.62
DJI_20241121092344_0252_V.JPG,-79.852825,9.151526,263.927
DJI_20241121092345_0253_V.JPG,-79.852739,9.151524,264.891
DJI_20241121092346_0254_V.JPG,-79.852656,9.15152,266.035
DJI_20241121092347_0255_V.JPG,-79.852568,9.151517,264.589
DJI_20241121092348_0256_V.JPG,-79.852477,9.151514,261.738
DJI_20241121092349_0257_V.JPG,-79.852389,9.151511,258.164
DJI_20241121092351_0258_V.JPG,-79.852309,9.151509,252.562
DJI_20241121092352_0259_V.JPG,-79.852221,9.151506,249.09
DJI_20241121092353_0260_V.JPG,-79.852132,9.151503,250.225
DJI_20241121092354_0261_V.JPG,-79.852043,9.1515,251.017
DJI_20241121092355_0262_V.JPG,-79.851958,9.151496,251.804
DJI_20241121092356_0263_V.JPG,-79.851867,9.151493,252.719
DJI_20241121092357_0264_V.JPG,-79.851783,9.151491,252.919
DJI_20241121092358_0265_V.JPG,-79.851694,9.151487,253.978
DJI_20241121092359_0266_V.JPG,-79.851609,9.151485,254.683
DJI_20241121092400_0267_V.JPG,-79.851522,9.151482,256.619
DJI_20241121092401_0268_V.JPG,-79.851435,9.151479,256.742
DJI_20241121092402_0269_V.JPG,-79.851347,9.151476,257.305
DJI_20241121092403_0270_V.JPG,-79.851262,9.151473,256.401
DJI_20241121092404_0271_V.JPG,-79.851178,9.15147,256.434
DJI_20241121092405_0272_V.JPG,-79.851088,9.151467,257.574
DJI_20241121092406_0273_V.JPG,-79.851001,9.151464,258.569
DJI_20241121092407_0274_V.JPG,-79.850915,9.151461,259.559
DJI_20241121092408_0275_V.JPG,-79.850826,9.151457,260.624
DJI_20241121092409_0276_V.JPG,-79.850741,9.151454,261.888
DJI_20241121092410_0277_V.JPG,-79.850653,9.151452,260.931
DJI_20241121092411_0278_V.JPG,-79.850568,9.151449,255.602
DJI_20241121092412_0279_V.JPG,-79.850479,9.151446,252.167
DJI_20241121092413_0280_V.JPG,-79.850392,9.151443,253.389
DJI_20241121092414_0281_V.JPG,-79.850304,9.15144,255.807
DJI_20241121092415_0282_V.JPG,-79.850223,9.151437,258.324
DJI_20241121092416_0283_V.JPG,-79.85013,9.151434,260.158
DJI_20241121092417_0284_V.JPG,-79.850044,9.151431,261.504
DJI_20241121092418_0285_V.JPG,-79.849956,9.151428,262.776
